#genome-accession: PRJNA1112363
Geneid	CW24A	CW24B	CW24C	CW48A	CW48B	CW48C	CW72A	CW72B	CW72C	NC24A	NC24B	NC24C	NC48A	NC48B	NC48C	NC72A	NC72B	NC72C
EKIOKJ_00005.t01	329	276	1509	1105	1831	843	691	848	838	239	502	416	137	1316	176	803	99	1085
EKIOKJ_00010.t01	154	543	960	915	935	356	380	542	770	421	710	1124	57	538	1054	415	59	1120
EKIOKJ_00015.t01	241	339	1637	1149	1708	629	423	644	611	137	583	313	69	838	289	460	104	738
EKIOKJ_00020.t01	36	344	364	377	337	89	77	193	208	203	324	795	32	104	723	191	16	430
EKIOKJ_00025.t01	39	230	238	259	295	70	61	125	87	127	148	428	2	97	356	91	12	216
EKIOKJ_00030.t01	24	74	138	101	103	30	33	59	62	42	100	159	7	40	80	46	3	114
EKIOKJ_00035.t01	14	36	87	77	99	29	30	42	40	35	63	76	3	63	53	34	8	88
EKIOKJ_00040.t01	9	22	37	46	33	21	16	40	20	21	23	25	4	17	12	28	5	69
EKIOKJ_00045.t01	21	88	113	135	95	35	27	49	61	51	69	155	9	65	60	45	6	129
EKIOKJ_00050.t01	6	34	66	51	57	22	35	30	49	39	45	74	9	39	32	41	2	91
EKIOKJ_00055.t01	90	974	1275	1438	825	289	239	637	989	877	872	1888	36	490	650	439	33	1447
EKIOKJ_00060.t01	40	112	222	158	208	82	58	120	130	83	90	161	12	84	122	106	13	127
EKIOKJ_00065.t01	8	68	78	94	92	20	18	53	42	50	49	104	2	19	83	45	5	67
EKIOKJ_00070.t01	3	32	57	34	58	17	11	19	27	16	29	27	1	31	31	16	3	27
EKIOKJ_00075.t01	2	33	42	51	56	8	8	19	33	27	40	81	1	13	56	29	2	38
EKIOKJ_00080.t01	14	61	112	103	137	34	24	62	57	61	64	172	3	32	139	46	6	77
EKIOKJ_00085.t01	9	90	137	111	142	35	29	61	57	70	78	157	1	59	112	41	5	108
EKIOKJ_00090.t01	13	45	76	90	134	32	23	42	39	26	43	90	3	64	90	25	4	62
EKIOKJ_00095.t01	0	1	10	9	11	2	5	3	4	5	7	17	0	2	3	2	1	18
EKIOKJ_00100.t01	31	189	253	301	365	105	75	165	124	138	215	647	13	123	705	151	11	237
EKIOKJ_00105.t01	2	21	15	27	25	8	8	10	15	15	11	35	2	15	32	7	0	14
EKIOKJ_00110.t01	14	117	101	123	189	42	27	66	38	65	107	278	2	52	185	49	5	115
